Code;Year;CI;HP;Equipment;Automobile
2XB;82;454;210;4B;MR
2XC;82;454;210;4B;MR
2XF;82;454;210;4B;MR
2XH;82;454;210;4B;MR
2XJ;82;454;210;4B;MR
2XK;82;454;210;4B;MR
2XN;82;454;210;4B;MR
2XR;82;454;210;4B;MR
2XS;82;454;210;4B;MR
2XT;82;454;210;4B;MR
2XY;82;454;210;4B;MR
2XZ;82;454;210;4B;MR
2ZA;82;427;220;4B;MR
2ZB;82;427;220;4B;MR
2ZC;82;427;220;4B;MR
3N;78;305;145;2B;FB
3T;78;350;170;4B,TH350;FB
3X;78;305;145;2B;PN
3XB;83;454;230;4B;MR
3XC;83;454;230;4B;MR
3XD;83;454;230;4B;MR
3XF;83;454;230;4B;MR
3XH;83;454;230;4B;MR
3XJ;83;454;230;4B;MR
3XK;83;454;230;4B;MR
3XN;83;454;230;4B;MR
3XR;83;454;230;4B;MR
3XS;83;454;230;4B;MR
3XT;83;454;230;4B;MR
3XY;83;454;230;4B;MR
3XZ;83;454;230;4B;MR
4T;68;396;325;4B,MT;CH
4U;68;396;350;4B,MT;CH
4W;68;396;350;4B,AT;CH
4XB;84;454;230;4B;MR
4XC;84;454;230;4B;MR
4XD;84;454;230;4B;MR
4XF;84;454;230;4B;MR
4XH;84;454;230;4B;MR
4XJ;84;454;230;4B;MR
4XK;84;454;230;4B;MR
4XL;84;454;230;4B;MR
4XM;84;454;230;4B;MR
4XN;84;454;230;4B;MR
4XR;84;454;230;4B;MR
4XS;84;454;230;4B;MR
4XT;84;454;230;4B;MR
4XU;84;454;230;4B;MR
4XY;84;454;230;4B;MR
4XZ;84;454;230;4B;MR
5XB;75;454;215;4B;MR
5XB;85;454;240;4B;MR
5XC;75;454;215;4B;MR
5XC;85;454;240;4B;MR
5XD;75;454;215;4B;MR
5XD;85;454;240;4B;MR
5XF;85;454;240;4B;MR
5XH;85;454;240;4B;MR
5XJ;85;454;240;4B;MR
5XK;85;454;240;4B;MR
5XM;85;454;240;4B;MR
5XN;85;454;240;4B;MR
5XR;85;454;240;4B;MR
5XS;85;454;240;4B;MR
5XT;85;454;240;4B;MR
5XU;85;454;240;4B;MR
5XY;85;454;240;4B;MR
5XZ;85;454;240;4B;MR
6HF;86;454;240;4B;MR
6HH;86;454;240;4B;MR
6XB;76;454;215;4B;MR
6XB;86;454;240;4B;MR
6XC;76;454;215;4B;MR
6XC;86;454;240;4B;MR
6XD;76;454;215;4B;MR
6XD;86;454;240;4B;MR
6XF;76;454;215;4B;MR
6XF;86;454;240;4B;MR
6XH;76;454;215;4B;MR
6XH;86;454;240;4B;MR
6XJ;76;454;215;4B;MR
6XJ;86;454;240;4B;MR
6XK;76;454;215;4B;MR
6XK;86;454;240;4B;MR
6XL;86;454;240;4B;MR
6XM;86;454;240;4B;MR
6XN;86;454;240;4B;MR
6XR;86;454;240;4B;MR
6XS;86;454;240;4B;MR
6XT;86;454;240;4B;MR
6XU;86;454;240;4B;MR
6XY;86;454;240;4B;MR
6XZ;86;454;240;4B;MR
7X;76;350;CA
7XA;87;454;240;4B;MR
7AJ;67;427;MR
7XB;77;454;250;4B;MR
7XC;77;454;250;4B;MR
7XD;87;454;240;4B;MR
7XF;77;454;250;4B;MR
7XF;87;454;240;4B;MR
7XH;77;454;250;4B;MR
7XH;87;454;240;4B,JD;MR
7XJ;77;454;250;4B;MR
7XJ;87;454;240;4B;MR
7XK;77;454;250;4B;MR
7XK;87;454;240;4B,JD;MR
7XL;87;454;240;4B;MR
7XM;77;454;250;4B;MR
7XN;77;454;250;4B;MR
7XN;87;454;240;4B,IB;MR
7XP;87;454;240;4B,IB;MR
7XR;77;454;250;4B;MR
7XR;87;454;240;4B,IB;MR
7XS;77;454;250;4B;MR
7XS;87;454;240;4B,IO;MR
7XT;77;454;250;4B;MR
7XT;87;454;240;4B;MR
7XU;87;454;240;4B;MR
7XX;87;454;310;4B,IB;MR
7XY;87;454;240;4B,IB;MR
7XZ;87;454;240;4B,IB;MR
8FA;88;502;380;4B;MR
8FB;88;502;380;4B;MR
8FC;88;502;380;4B;MR
8XA;88;454;310;4B;MR
8XB;78;454;250;4B;MR
8XC;78;454;250;4B;MR
8XD;88;454;310;4B;MR
8XF;78;454;250;4B;MR
8XF;88;454;310;4B;MR
8XH;78;454;250;4B;MR
8XH;88;454;310;4B,JD;MR
8XJ;78;454;250;4B;MR
8XJ;88;454;310;4B;MR
8XK;78;454;250;4B;MR
8XK;88;454;310;4B;MR
8XL;88;454;310;4B;MR
8XM;78;454;250;4B;MR
8XN;78;454;250;4B;MR
8XN;88;454;310;4B;MR
8XP;88;454;310;4B,IB;MR
8XR;78;454;250;4B;MR
8XR;88;454;310;4B;MR
8XS;78;454;250;4B;MR
8XS;88;454;310;4B;MR
8XT;78;454;250;4B;MR
8XT;88;454;310;4B;MR
8XU;88;454;310;4B;MR
8XX;88;454;310;4B,IB;MR
8XY;88;454;310;4B;MR
8XZ;88;454;310;4B;MR
8ZA;79;427;220;4B;MR
9A;80;305;155;4B,AT;PA
9FA;89;502;380;4B;MR
9FB;89;502;380;4B;MR
9FC;89;502;310;4B;MR
9R;76;350;GM
9W;76;350;CA
9XA;89;454;310;4B;MR
9XB;79;454;245;4B;MR
9XC;79;454;245;4B;MR
9XD;89;454;310;4B;MR
9XF;79;454;245;4B;MR
9XF;89;454;310;4B;MR
9XH;79;454;245;4B;MR
9XH;89;454;310;4B,JD;MR
9XJ;79;454;245;4B;MR
9XJ;89;454;310;4B;MR
9XK;79;454;245;4B;MR
9XK;89;454;310;4B;MR
9XL;89;454;310;4B;MR
9XM;79;454;245;4B;MR
9XN;79;454;245;4B;MR
9XN;89;454;310;4B;MR
9XP;89;454;310;4B,IB;MR
9XR;79;454;245;4B;MR
9XR;89;454;310;4B;MR
9XS;79;454;245;4B;MR
9XS;89;454;310;4B;MR
9XT;79;454;245;4B;MR
9XT;89;454;310;4B;MR
9XU;89;454;310;4B;MR
9XX;89;454;310;4B,IB;MR
9XY;89;454;310;4B;MR
9XZ;89;454;310;4B;MR
A;56;265;155;2B,MT;TR;31-3200
Series
AA;56;265;155;2B,MT;TR;3600;Series
AAA;73;366;200;4B,AIR,MT;TR
AAA;76;350;160;2B,MT;TR
AAA;77;350;160;2B,MT;TR
AAA;79;350;160;2B,MT;TR
AAB;73;427;230;4B,AIR,MT;TR
AAB;76;350;160;2B,MT;TR
AAB;77;350;160;2B,MT;TR
AAB;79;350;160;2B,MT;TR
AAC;77;350;160;2B,AT;TR
AAC;79;350;160;2B,AT;TR
AAC;76;350;160;2B,AT;TR
AAD;75;350;160;2B,MT;TR
AAD;76;350;160;2B,AT;TR
AAD;79;350;160;2B,MT;TR
AAF;76;350;160;2B,AT;TR
AAF;77;350;160;2B,AT;TR
AAF;79;350;160;2B,AT;TR
AAH;75;350;160;2B,MT;TR
AAH;76;350;160;2B,MT;TR
AAH;79;350;160;2B,MT;TR
AAJ;76;350;160;2B,MT;TR
AAJ;77;350;160;2B,AT;TR
AAJ;79;350;160;2B,MT;TR
AAK;76;350;160;2B,MT;TR
AAL;76;350;160;2B,MT;TR
AAM;76;350;160;2B,MT;TR
AAM;77;350;160;2B,MT;TR
AAS;73;427;230;4B,MT;TR
AB;56;265;155;2B,MT;TR;3800;Series
ABA;78;350;160;2B,MT;TR
ABB;78;350;160;2B,MT;TR
ABC;78;350;160;2B,MT;TR
ABD;78;350;160;2B,MT;TR
ABF;78;350;160;2B,MT;TR
ABH;78;350;160;2B,MT;TR
ABJ;78;350;160;2B,MT;TR
ABK;78;350;160;2B,MT;TR
ABL;78;350;160;2B,MT;TR
ABM;78;350;160;2B,MT;TR
AC;56;265;Light;Duty;TR;4000;Series
ACA;73;350;155;4B,MT;TR
ACA;84;427;220;4B;MR
ACB;84;427;220;4B;MR
ACF;84;427;220;4B;MR
ADA;73;350;155;4B,MT;TR
ADA;83;427;220;4B;MR
ADB;83;427;220;4B;MR
ADC;73;350;155;4B,AT;TR
ADC;83;427;220;4B;MR
ADR;73;350;155;4B,LP,MT;TR
ADS;73;366;200;4B,AIR,MT;TR
ADU;73;366;200;4B,AIR,AT;TR
ADV;73;366;200;4B,AIR,AT;TR
ADW;73;366;200;4B,AIR,MT;TR
ADX;73;366;200;4B,AIR,AT;TR
ADZ;73;427;230;4B,AIR,MT;TR
AEA;73;427;230;4B,MT;TR
AFA;76;366;200;4B,MT;TR
AFB;76;366;200;4B,AT;TR
AFD;77;366;200;4B,AIR,MT;TR
AFF;77;366;200;4B,AT;TR
AFH;77;366;200;4B,MT;TR
AFJ;77;366;200;4B,AT;TR
AFK;78;427;220;4B;MR
AFL;77;366;200;4B,MT;TR
AFM;78;366;200;4B,MT;TR
AFR;78;366;200;4B,MT;TR
AFS;76;366;200;4B,AT;TR
AFT;73;366;200;4B,LP,MT;TR
AFT;74;366;200;4B,LP,MT;TR
AFU;73;366;200;4B,LP,MT;TR
AFU;74;366;200;4B,LP,MT;TR
AFU;78;366;200;4B,MT;TR
AHA;74;366;200;4B,MT;TR
AHA;79;366;190;4B,DE,MT;TR
AHB;74;366;200;4B,AT;TR
AHB;79;366;190;4B,DE,AT;TR
AHC;79;366;190;4B,DE,MT;TR
AHD;75;366;200;4B,MT;TR
AHD;76;366;200;4B,MT;TR
AHH;75;366;200;4B,MT;TR
AHH;76;366;200;4B,MT;TR
AHH;79;366;190;4B,DE,MT;TR
AHJ;75;366;200;4B,AT;TR
AHJ;76;366;200;4B,AT;TR
AHJ;78;366;200;4B,MT;TR
AHK;73;366;200;4B,MT;TR
AHK;74;366;200;4B,MT;TR
AHL;75;366;200;4B,AT;TR
AHL;76;366;200;4B,AT;TR
AHL;79;366;190;4B,DE,MT;TR
AHM;73;366;200;4B,AT;TR
AHM;74;366;200;4B,AT;TR
AHN;73;366;200;4B,MT;TR
AHR;73;366;200;4B,AT;TR
AHR;74;366;200;4B,AT;TR
AHR;78;366;200;4B,MT;TR
AHS;73;366;200;4B,MT;TR
AHS;74;366;200;4B,MT;TR
AHS;78;366;200;4B,MT;TR
AHS;79;366;190;4B,MT;TR
AHT;73;427;230;4B,MT;TR
AHT;78;366;200;4B,MT;TR
AHU;73;427;230;4B,MT;TR
AHU;75;366;200;4B,MT;TR
AHU;76;366;200;4B,MT;TR
AHU;77;366;200;4B,MT;TR
AHW;73;427;230;4B,MT;TR
AHW;75;366;200;4B,AT;TR
AHW;76;366;200;4B,AT;TR
AHW;77;366;200;4B,AT;TR
AHX;75;366;200;4B,MT;TR
AHX;76;366;200;4B,MT;TR
AHX;77;366;200;4B,MT;TR
AHY;75;366;200;4B,MT;TR
AHY;76;366;200;4B,MT;TR
AHY;77;366;200;4B,MT;TR
AHZ;75;366;200;4B,AT;TR
AHZ;76;366;200;4B,AT;TR
AHZ;77;366;200;4B,AT;TR
AJA;73;350;155;4B,MT;TR
AJA;77;427;220;4B,AT;TR
AJB;73;366;200;4B,AT;TR
AJD;73;350;155;4B,AT;TR
AJF;73;350;155;4B,MT;TR
AJH;73;350;155;4B,AT;TR
AJJ;73;350;155;4B,MT;TR
AJK;73;350;155;4B,AT;TR
AJM;73;350;155;4B,MT;TR
AJN;73;350;155;4B,AT;TR
AJR;73;350;155;4B,AT;TR
AJS;73;350;155;4B,AT;TR
AJT;73;350;155;4B;TR
AKA;75;427;220;4B,MT;TR
AKA;76;427;260;4B;MR
AKA;76;427;220;4B,MT;TR
AKA;77;427;260;4B;MR
AKA;77;427;220;4B,MT;TR
AKA;79;427;220;4B,MT;TR
AKA;85;454;240;4B,MT;TR
AKB;75;427;260;4B;MR
AKB;75;427;220;4B,MT;TR
AKB;76;427;260;4B;MR
AKB;76;427;220;4B,MT;TR
AKB;77;427;260;4B;MR
AKB;77;427;220;4B,MT;TR
AKB;79;427;220;4B,MT;TR
AKB;85;454;240;4B,MT;TR
AKC;75;427;260;4B;MR
AKC;75;427;220;4B,MT;TR
AKC;76;427;220;4B,MT;TR
AKC;77;427;220;4B,MT;TR
AKC;79;427;220;4B,MT;TR
AKC;85;454;240;4B,MT;TR
AKC;89;305;170;AT,TBI;PA
AKD;75;427;220;4B,AIR,MT;TR
AKD;76;427;220;4B,AIR,MT;TR
AKD;77;427;220;4B,AIR,MT;TR
AKD;79;427;220;4B;MR
AKD;79;427;220;4B,MT;TR
AKD;85;454;240;4B,MT;TR
AKF;78;427;220;4B,MT;TR
AKF;85;454;240;4B,MT;TR
AKF;89;305;170;AT,TBI;PA
AKH;75;427;220;4B,AIR,MT;TR
AKH;76;427;220;4B,AIR,MT;TR
AKH;77;427;220;4B,AIR,MT;TR
AKH;79;427;220;4B,MT;TR
AKH;85;454;240;4B,MT;TR
AKH;89;305;170;AT,TBI;FB
AKJ;75;427;220;4B,AIR,MT;TR
AKJ;76;427;220;4B,AIR,MT;TR
AKJ;77;427;220;4B,AIR,MT;TR
AKJ;79;427;220;4B,MT;TR
AKJ;85;454;240;4B,MT;TR
AKJ;89;305;170;AT,TBI;FB
AKK;76;366;200;4B,MT;TR
AKK;78;427;220;4B;MR
AKK;78;427;220;4B,MT;TR
AKK;85;454;240;4B,MT;TR
AKL;76;366;200;4B,AT;TR
AKL;77;366;200;4B,AT;TR
AKM;76;366;200;4B,MT;TR
AKM;77;366;200;4B,MT;TR
AKM;79;427;220;4B,AT;TR
AKM;85;454;240;4B,MT;TR
AKM;89;305;170;AT,TBI;PA
AKN;85;454;240;4B,MT;TR
AKN;89;305;170;AT,TBI;PA
AKR;76;366;200;4B,AT;TR
AKR;77;366;200;4B,AT;TR
AKR;85;454;240;4B;MR
AKR;85;454;240;4B,MT;TR
AKS;76;427;220;4B,MT;TR
AKS;77;427;220;4B,MT;TR
AKS;86;454;240;4B;MR
AKS;86;454;240;4B,MT;TR
AKT;74;427;230;4B,MT;TR
AKT;78;427;220;4B,MT;TR
AKT;86;454;240;4B,MT;TR
AKU;74;427;230;4B,MT;TR
AKU;78;427;220;4B,MT;TR
AKU;86;454;240;4B;MR
AKU;86;454;240;4B,MT;TR
AKW;74;427;230;4B,MT;TR
AKW;86;454;240;4B,MT;TR
AKX;76;427;220;4B,AIR,MT;TR
AKX;77;427;220;4B,AIR,MT;TR
AKX;86;454;240;4B,MT;TR
AKY;86;454;240;4B,MT;TR
AKZ;86;454;240;4B,MT;TR
ALA;77;427;220;4B,AT;TR
ALA;86;454;240;4B,MT;TR
ALB;77;427;220;4B,AT;TR
ALB;80;427;220;4B;MR
ALB;86;454;240;4B,MT;TR
ALC;77;427;220;4B,AIR,AT;TR
ALC;86;454;240;4B,MT;TR
ALD;77;427;220;4B,AIR,AT;TR
ALD;86;454;240;4B,MT;TR
ALF;77;427;220;4B,MT;TR
ALH;86;454;240;4B,MT;TR
ALK;78;427;220;4B,MT;TR
ALK;87;454;230;MT,TBI;TR
ALM;78;427;220;4B,MT;TR
ALS;78;427;220;4B,MT;TR
ALS;87;454;230;MT,TBI;TR
ALX;87;454;230;MT,TBI;TR
ALY;87;454;230;MT,TBI;TR
AMA;86;427;220;4B;MR
AMB;86;427;220;4B;MR
AMC;86;427;220;4B;MR
AMD;81;427;220;4B;MR
AMJ;86;427;220;4B;MR
AML;86;427;220;4B;MR
ARA;89;305;175;AT,TBI;PA
ARM;78;366;200;4B,MT;TR
ASB;88;454;230;MT,TBI;TR
ASC;88;454;230;MT,TBI;TR
ATA;75;366;200;4B,AT;TR
ATA;89;305;230;AT,TBI;FB
ATB;75;366;200;4B,MT;TR
ATB;76;366;200;4B,MT;TR
ATB;77;366;200;4B,MT;TR
ATB;89;305;230;AT,TBI;FB
ATC;75;366;200;4B,AT;TR
ATC;76;366;200;4B,AT;TR
ATC;77;366;200;4B,AT;TR
ATF;89;305;230;AT,TBI;FB
ATM;89;305;230;AT,TBI;FB
AUA;79;454;245;4B,MT;TR
AUB;79;454;245;4B,MT;TR
AWA;89;350;225;AT,TPI;CA,FB
AWB;89;454;230;4B,MT;TR
AWC;89;454;230;4B,MT;TR
AWH;89;454;230;MT,TBI;TR
AWJ;89;454;230;MT,TBI;TR
AWK;89;350;240;AT,TBI;CA,FB
AWK;89;454;230;4B,MT;TR
AWL;89;454;230;4B,MT;TR
AWM;89;454;230;4B,MT;TR
AWN;89;454;230;4B,MT;TR
AWP;89;454;230;MT,TBI;TR
AWR;89;454;230;MT,TBI;TR
B;56;265;155;2B,AT;TR;31-3200
Series
B4T;86;305;165;4B,AT;CA,CH,PA
BA;56;265;155;2B,AT;TR;3600;Series
BB;56;265;155;2B,AT;TR;3800;Series
BC;56;265;155;2B,AT;TR;41-4400
Series
BD;81;305;150;4B;FB
BJ;81;305;150;4B;FB,OL
BLA;90;305;170;AT,TBI;PA
BLB;90;305;170;AT,TBI;PA
BLC;90;305;170;AT,TBI;CA,FB
BLD;90;305;170;AT,TBI;CA,FB
BLF;90;305;225;AT,TPI;CA,FB
BLH;90;305;225;AT,TPI;CA,FB
BLJ;90;305;225;AT,TPI;CA,FB
BMA;90;350;175;AT,TBI;PA
BMB;90;350;240;AT,TPI;CA,FB
BMJ;90;350;175;AT,TPI;CD
BMK;90;350;240;AT,TPI;CA,FB
C;57;265;162;2B,3S;PA,TR
C;58;283;170;2B,MT;PA
C;59;283;170;2B,MT;PA
C;60;283;170;2B,MT;PA
C;61;283;170;2B,MT;PA
C;62;283;170;2B,MT;PA
C;63;283;195;2B,MT;PA
C;64;283;195;2B,MT;PA
C2K;77;305;145;2B,TH350;CA,NO
C2L;77;305;145;2B,TH350;CA,NO
C2M;77;305;145;2B,TH350;CA,NO
C2R;82;305;145;4B,TH350;CA,FB,MA,MC,PA
C2S;82;305;145;4B,TH350;CA,FB,MA,MC,PA
C2T;82;305;145;4B,TH350;CA,FB,MA,MC,PA
C2U;82;305;145;4B,TH350;CA,FB,MA,MC,PA
C2W;82;305;145;4B,TH350;CA,FB,MA,MC,PA
C2X;82;305;145;4B,TH350;CA,FB,MA,MC,PA
C3N;78;305;145;2B,TH350;CA,MC
C3P;78;305;145;2B,TH350;OL
C3T;78;350;170;4B,TH350;CA
C4A;84;305;150;4B,AT;CA
C4B;84;305;150;4B,AT;CA
C4C;84;305;150;4B,AT;CA
C4D;78;305;145;2B,TH350;MA,MC
C4D;84;305;150;4B,AT;CA
C4N;82;267;120;2B,TH350;MA,MC,PA
C4P;85;305;165;4B,AT;CA,CH
C4P;85;305;150;4B,AT;MA,MC,PA
C4R;82;267;120;2B,TH350;MA,MC,PA
C4R;85;305;165;4B,AT;CA,CH,FB
C4R;85;305;150;4B,AT;MA,MC,PA
C4S;82;267;120;2B,TH350;MA,MC,PA
C4T;82;267;120;2B,TH350;MA,MC,PA
C4U;82;267;120;2B,TH350;MA,MC,PA
C4W;82;267;120;2B,TH350;MA,MC,PA
C4W;84;305;150;4B,AT;MA,MC,PA
C5A;82;350;170;4B,PO,TH350;PA
C5B;82;350;170;4B,PO,TH350;PA
C5P;85;350;AT,TPI,PO;MC,PN
C7A;85;305;165;4B,AT;CA,CH,FB,GP
C7A;85;305;150;4B,AT;MA,MC,PA
C7B;85;305;165;4B,AT;CA,CH,FB,GP
C7B;85;305;150;4B,AT;MA,MC,PA
C7D;86;305;165;4B,AT;CA,FB
C7H;86;305;165;4B,AT;CA,FB
C7J;87;305;165;4B,AT;CA,CH,GP,PA
C7K;87;305;165;4B,AT;CH,GP,PA
C7L;87;305;165;4B,AT;FB,GP
C7M;87;305;165;4B,AT;CA,FB
C7R;85;350;160;4B,TH350;TR
C7X;87;305;165;4B,AT;CH,GP,PA
C8B;79;305;130;2B,AT;CA,NO
C8C;79;350;170;4B,TH350;CA
C8X;80;267;120;2B,AT;CA
CAJ;71;400;255;2B,MT;CH,EC
CAR;72;350;165;2B,AIR,PO,TH350;CH,EC,MC
CAT;72;400;170;2B,CE,TH;PA
CAY;72;307;130;2B,CE,MT;CA,CH,EC,NO
CAY;73;307;115;2B,MT;GM
CAZ;72;307;130;2B,CE,PG;CA,CH,EC,NO
CAZ;73;307;115;2B,PG;GM
CB;58;283;170;2B,HDC,MT;PA
CB;63;283;195;2B,PO;PA
CB;64;283;195;2B,PO;PA
CBG;71;350;PG;PA
CCA;71;307;200;2B,MT;CA,CH,EC,NO
CCC;71;307;200;2B,PG;CA,EC,NO
CD;57;265;162;2B,3S,OD;PA,TR
CD;58;283;170;2B,3S,OD;PA
CD;59;283;170;2B,3S,OD;PA
CD;60;283;170;2B,3S,OD;PA
CD;61;283;170;2B,3S,OD;PA
CD;62;283;170;2B,3S,OD;PA
CD;63;283;195;2B,3S,OD;PA
CDA;72;350;165;2B,CE,MT;CH,EC,MC,NO
CDB;72;350;165;2B,CE,TH;CH,MC,PA
CDB;82;267;120;2B,TH350;MA,MC,PA
CDC;82;267;120;2B,TH350;MA,MC,PA
CDD;72;350;175;4B,CE,TH;CA,CH,EC,MC
CDD;82;267;120;2B,TH350;PA
CDD;85;305;165;4B,AT;CA,CH
CDD;85;305;150;4B,AT;MA,MC,PA
CDF;85;305;165;4B,AT;CA,CH,FB,GP
CDF;85;305;150;4B,AT;MA,MC,PA
CDG;72;350;175;4B,CE,MT;CA,CH,EC,MC,NO
CDH;72;350;200;4B,4S,EM;CO
CDH;85;305;165;4B,AT;CA,CH,FB,GP
CDH;85;305;150;4B,AT;MA,MC,PA
CDJ;72;350;200;4B,EM,TH400;CO
CDJ;82;267;120;2B,TH350;MA,MC,PA
CDJ;85;305;165;4B,AT;CA,CH,FB,GP
CDJ;85;305;150;4B,AT;MA,MC,PA
CDK;85;305;190;4B,AT;CA,FB
CDK;85;305;180;4B,AT,SS;MC
CDL;72;400;170;2B,PO,TH;PA
CDL;85;305;165;4B,AT;CA,CH,FB,GP
CDL;85;305;150;4B,AT;MA,MC,PA
CDM;72;400;170;2B,CE,PO,TH;PA
CDM;85;305;190;4B,AT;CA,FB
CDM;85;305;180;4B,AT,SS;MC
CDN;85;305;215;AT,TPI;CA
CDR;85;305;215;AT,TPI;CA
CDR;90;305;225;AT,TPI;CA,FB
CE;57;265;162;2B,3S,HDC;PA,TR
CE;60-
79;See;page;v
CEA;80;305;155;4B,TH350;MA,MC
CEC;80;305;155;4B,TH350;MA,MC
CED;80;305;155;4B,AT;PA
CEH;80;305;155;4B,AT;PA
CEJ;78;305;145;2B,TH350;PA
CEJ;80;305;155;4B,TH350;CA
CEJ;82;305;155;4B,TH350;MA,MC
CEK;78;305;145;2B,TH350;PA
CEL;80;305;155;4B,TH350;CA
CEM;78;305;145;2B;PA
CEM;80;305;155;4B,TH350;CA
CER;78;305;145;2B,TH350;MA,MC
CER;80;305;155;4B,TH350;MA,MC
CET;80;305;155;4B,TH350;CA
CEU;80;305;190;4B,TH350;CA
CF;58;283;230;4B,MT;PA
CF;59;283;230;4B,MT;PA
CF;60;283;230;4B,MT;PA
CF;61;283;230;4B,MT;PA
CF;64;283;195;2B,4S;NO
CFA;82;305;145;4B,TH350;CA,CH,FB,PA
CFA;85;305;215;AT,TPI;CA
CFB;82;305;145;4B,TH350;CA,CH,FB,PA
CFB;85;305;215;AT,TPI;CA
CFC;82;305;145;4B,TH350;CA,CH,FB,PA
CFD;82;305;145;4B,TH350;CA,CH,FB,PA
CFF;82;305;145;4B,TH350;CA,CH,FB,PA
CFF;85;305;190;4B,AT;CA,FB
CFF;85;305;180;4B,AT,SS;MC
CFH;82;305;145;4B,TH350;CA,CH,FB,PA
CFH;85;305;190;4B,AT;CA
CFH;85;305;180;4B,AT,SS;MC
CFJ;82;305;165;TBI,TH350;CA
CFK;82;305;165;TBI,TH350;CA
CFL;82;305;165;TBI,TH350;CA,MC
CFM;82;305;165;TBI,TH350;CA
CFN;82;305;165;TBI,TH350;CA
CFR;82;305;145;4B,TH350;CA,CH,FB,PA
CFT;82;305;145;4B,TH350;CA,CH,FB,PA
CFW;82;305;145;4B,TH350;CA,CH,FB,PA
CFY;82;305;145;4B,TH350;CA,CH,FB,PA
CFZ;82;305;145;4B,TH350;CA,CH,FB,PA
CG;58;283;230;4B,3S,OD;PA
CG;59;283;230;4B,3S,OD;PA
CG;60;283;230;4B,3S,OD;PA
CG;61;283;230;4B,3S,OD;PA
CG;64;283;195;2B,4S,AC;NO
CGA;71;350;245;2B,MT;CH,EC,MC,PA
CGA;75;262;110;2B,TH350;MO
CGA;76;262;110;2B,TH350;MO
CGB;71;350;245;2B,PG;CA,CH,MC,NO,PA
CGB;76;262;110;2B,TH350;MO
CGC;71;350;245;2B,MT;CH,EC,PA
CGJ;71;350;245;2B,PO,TH350,TX;PA
CGJ;75;262;110;2B,TH350;MO
CGK;71;350;270;4B,MT;CA,CH,EC,MC,NO
CGK;75;262;110;2B,TH350;MO
CGL;71;350;270;4B,TH350;CA,CH,EC,MC,NO
CGL;76;262;110;2B,TH350;MO
CGP;71;350;330;4B,MT;CA
CGR;70;400;265;2B,MT;CH,EC,MC,PA
CGR;71;350;330;4B,TH400;CA
CGS;70;454;345;4B,MT,PO;PA
CGT;70;454;390;4B,MT,PO;PA
CGT;71;350;270;4B,TH400;CO
CGU;70;454;390;4B,MT;PA
CGV;70;454;345;4B,MT;PA
CGW;70;454;390;4B,TH400;CO
CGY;71;350;330;4B,4S(HD),ZR1;CO
CGZ;71;350;330;4B,4S;CO
CH;58;283;250;FI,MT;PA
